Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
MMAB	10	-0.037232	-0.23843	0.67111	0.86515	0.81155	0.99951	-0.06258	-0.40158	0.38097	0.62721	0.68799	0.90678	0.33044	2.102	0.06285	0.32444	0.03555	0.1823
ALOX5	10	-0.022613	-0.37424	0.90271	0.96458	0.70822	0.99951	0.034061	0.56383	0.59019	0.78298	0.57287	0.85189	-0.1167	-1.9272	0.10288	0.40646	0.053952	0.22582
NISCH	10	-0.092808	-0.74127	0.13302	0.39615	0.45853	0.99951	-0.027787	-0.22235	0.68446	0.83728	0.82404	0.95353	0.041027	0.32501	0.77529	0.91514	0.74518	0.89604
SLC12A5	10	-0.0091572	-0.17325	0.89023	0.96141	0.86246	0.99951	0.040625	0.76923	0.53207	0.74894	0.44176	0.77683	-0.10765	-2.0252	0.12312	0.44618	0.042851	0.20232
KAT5	10	-0.18117	-1.1167	0.0038743	0.038961	0.26414	0.99951	-0.16581	-1.0237	0.028412	0.1336	0.30599	0.68744	-0.20864	-1.2702	0.015067	0.16204	0.20402	0.47158
NAGA	10	0.09188	1.4451	0.029703	0.17692	0.14843	0.9287	0.13418	2.1111	0.039604	0.16399	0.034762	0.2034	-0.17609	-2.758	0.030994	0.22393	0.0058157	0.060856
AGXT	10	-0.084607	-1.2736	0.17607	0.4611	0.20281	0.99473	-0.12349	-1.8591	0.092122	0.2861	0.063013	0.29692	-0.010386	-0.15611	0.47266	0.7621	0.87595	0.9558
AK4	10	-0.24619	-2.7609	0	0	0.0057642	0.14095	-0.26656	-2.9911	0.00086096	0.0074349	0.0027802	0.028326	-0.17009	-1.8971	0.035299	0.23988	0.057809	0.23397
PSPH	10	-0.006507	-0.097048	0.85665	0.94402	0.92269	0.99951	0.055245	0.82407	0.40077	0.64698	0.4099	0.75994	0.043147	0.6428	0.78864	0.91738	0.52036	0.76602
FTCD	10	-0.085241	-0.81147	0.17133	0.45434	0.4171	0.99951	-0.028985	-0.27599	0.66853	0.82704	0.78255	0.93589	-0.013121	-0.12469	0.46406	0.76076	0.90077	0.96837
SH3KBP1	10	0.071121	1.0628	0.079208	0.32337	0.28787	0.99951	0.11553	1.727	0.077056	0.2539	0.084164	0.35164	0.0040321	0.060083	0.54843	0.80025	0.95209	0.98735
PRKDC	10	-0.17421	-1.3352	0.0047353	0.045267	0.1818	0.99473	-0.49328	-3.7763	0	0	0.00015918	0.0025155	-0.16054	-1.2193	0.041326	0.26016	0.22272	0.49588
DGKD	10	0.065357	0.91714	0.10461	0.36707	0.35907	0.99951	0.05676	0.79661	0.38786	0.63406	0.42568	0.76966	0.012209	0.171	0.59492	0.82549	0.86422	0.95544
ACAD8	10	0.0055975	0.032928	0.67886	0.86983	0.97373	0.99951	-0.013366	-0.07866	0.84675	0.92521	0.9373	0.98035	0.4188	2.4599	0.012914	0.14706	0.013898	0.10381
EPHX2	10	0.060447	0.92366	0.12527	0.39044	0.35566	0.99951	0.079696	1.2181	0.23203	0.47911	0.22318	0.60048	0.021928	0.33424	0.66078	0.87443	0.7382	0.89221
CACNA1B	10	0.013856	0.17441	0.55532	0.80324	0.86154	0.99951	0.028214	0.35522	0.65777	0.82328	0.72243	0.91665	-0.12959	-1.627	0.080069	0.37037	0.10373	0.32216
GSTO1	10	-0.1419	-1.5698	0.023246	0.15211	0.11646	0.86435	-0.23111	-2.5579	0.0030133	0.023569	0.010531	0.082648	0.17044	1.8773	0.48558	0.76892	0.060473	0.23851
BRAF	10	-0.0010778	-0.010676	0.77701	0.90932	0.99148	0.99951	0.021878	0.21684	0.72708	0.85954	0.82833	0.95402	0.15059	1.4862	0.57254	0.81346	0.13722	0.37771
PSAP	10	-0.098325	-1.0327	0.11537	0.37588	0.30175	0.99951	-0.044785	-0.47086	0.51571	0.73996	0.63774	0.89084	-0.078247	-0.81752	0.20534	0.5553	0.41363	0.69227
NOXO1	10	-0.086791	-0.92914	0.16186	0.44131	0.35282	0.99951	-0.037687	-0.40358	0.58717	0.78204	0.68652	0.90678	0.14156	1.5129	0.62333	0.84629	0.13031	0.36915
GNLY	10	-0.046601	-0.48621	0.53767	0.78901	0.62682	0.99951	-0.03768	-0.3939	0.58717	0.78204	0.69366	0.90883	-0.08127	-0.83777	0.19544	0.54426	0.40216	0.68391
PTPMT1	10	-0.1665	-1.071	0.0060267	0.05364	0.28416	0.99951	-0.4866	-3.128	0	0	0.00176	0.019751	0.12765	0.81898	0.70728	0.89148	0.4128	0.69221
HTR1D	10	0.073508	0.90679	0.074473	0.31588	0.36452	0.99951	0.18108	2.2343	0.0077486	0.052023	0.025464	0.16663	-0.13735	-1.6903	0.067585	0.33122	0.090968	0.30537
PREP	10	0.027796	0.32748	0.37796	0.67124	0.74331	0.99951	0.14605	1.7214	0.025829	0.12579	0.08517	0.35308	0.017132	0.20129	0.62505	0.84665	0.84047	0.94412
SLC16A1	10	-0.011644	-0.21454	0.92337	0.975	0.83013	0.99951	0.083877	1.5456	0.2062	0.44683	0.1222	0.43539	-0.25633	-4.7146	0.0047353	0.08209	2.4222e-06	0.00017584
GABRG2	10	0.00070669	0.0077745	0.75549	0.90417	0.9938	0.99972	0.0087828	0.096656	0.87258	0.93281	0.923	0.97727	0.023923	0.26236	0.67585	0.88123	0.79304	0.9179
PLOD3	10	-0.070736	-0.77261	0.27464	0.57786	0.43975	0.99951	-0.081431	-0.88971	0.2514	0.50043	0.37362	0.73742	0.15301	1.6682	0.56307	0.81041	0.095273	0.31345
GZMB	10	0.069179	0.639	0.089539	0.3438	0.52282	0.99951	0.12396	1.146	0.057684	0.2144	0.2518	0.63235	-0.33393	-3.0649	0	0	0.0021778	0.030113
DHODH	10	-0.24697	-1.8385	0	0	0.065995	0.71849	-0.50532	-3.7584	0	0	0.00017103	0.0026312	-0.043359	-0.3202	0.33018	0.67756	0.74882	0.89739
FSHR	10	0.092755	1.5465	0.029272	0.17571	0.12199	0.87757	0.15041	2.5082	0.019802	0.10284	0.012136	0.093082	-0.13437	-2.2363	0.071029	0.34161	0.025332	0.14748
PRKX	10	0.074021	0.75577	0.07189	0.30983	0.44979	0.99951	0.0929	0.94886	0.16487	0.40104	0.34269	0.71985	0.11353	1.1557	0.78347	0.91738	0.24782	0.52287
SPTLC2	10	-0.21089	-1.7767	0.00086096	0.010638	0.07561	0.74785	-0.45197	-3.8062	0	0	0.00014111	0.0022923	0.075785	0.63572	0.98278	0.99261	0.52496	0.7689
KCNN4	10	-0.0015544	-0.015848	0.78261	0.90959	0.98736	0.99951	0.012739	0.12995	0.83341	0.91754	0.89661	0.96488	0.13959	1.4188	0.63625	0.85681	0.15597	0.40499
TXNDC12	10	0.043632	0.30208	0.226	0.51929	0.76259	0.99951	0.065848	0.45652	0.31683	0.55782	0.64801	0.89182	0.10542	0.72431	0.83384	0.93632	0.46887	0.73198
IRAK2	10	-0.048342	-0.79949	0.51528	0.77027	0.42401	0.99951	-0.011489	-0.19003	0.87301	0.93284	0.84928	0.95582	-0.12446	-2.0548	0.091261	0.39011	0.039899	0.19472
ENPP1	10	0.060711	0.57417	0.12312	0.38649	0.56585	0.99951	0.12559	1.1891	0.055101	0.20847	0.23442	0.60912	0.1597	1.501	0.53293	0.79359	0.13335	0.3725
PDE10A	10	0.033297	0.31611	0.31941	0.61782	0.75192	0.99951	0.11178	1.0616	0.091261	0.28495	0.28843	0.6734	0.017965	0.17015	0.63108	0.85183	0.86489	0.95544
PTPRO	10	0.023599	0.36417	0.43177	0.719	0.71573	0.99951	0.044959	0.6942	0.48773	0.7235	0.48756	0.80164	-0.0014709	-0.022589	0.51786	0.78391	0.98198	0.99245
RORA	10	0.063789	1.2292	0.10977	0.37409	0.219	0.99951	-0.012259	-0.23626	0.86225	0.9292	0.81323	0.9517	0.041049	0.78852	0.77529	0.91514	0.43039	0.70368
PPP1CC	10	-0.10454	-1.192	0.095997	0.3568	0.23326	0.99951	-0.18538	-2.116	0.015928	0.088095	0.034345	0.20198	0.0041794	0.047143	0.54929	0.80063	0.9624	0.98828
SCARB1	10	-0.098847	-0.65775	0.11365	0.37553	0.5107	0.99951	-0.1529	-1.0194	0.040895	0.16608	0.30804	0.69137	0.037313	0.24477	0.75118	0.90744	0.80663	0.92304
CCBL2	10	-0.035584	-0.37468	0.6978	0.87648	0.7079	0.99951	-0.027384	-0.2889	0.6879	0.83797	0.77266	0.93241	0.072103	0.75207	0.95824	0.98322	0.45201	0.72005
S100A4	10	-0.092718	-0.77466	0.13388	0.39821	0.43854	0.99951	-0.071854	-0.6013	0.31296	0.55454	0.54764	0.83939	0.29373	2.4451	0.11235	0.42439	0.014483	0.10661
DGKI	10	-0.085627	-0.75799	0.16875	0.45109	0.44846	0.99951	-0.13288	-1.1766	0.07189	0.24273	0.23937	0.6158	0.18291	1.6179	0.43048	0.74186	0.10568	0.3244
TAOK1	10	0.12343	1.2017	0.0043048	0.042373	0.22946	0.99951	0.30294	2.951	0	0	0.0031674	0.031715	0.10175	0.9879	0.85579	0.93685	0.3232	0.6038
BAG1	10	0.0079214	0.098665	0.6483	0.85861	0.9214	0.99951	0.038016	0.47371	0.55489	0.76526	0.6357	0.88907	0.01401	0.17387	0.60525	0.83097	0.86197	0.95532
CHEK2	10	0.20102	1.837	0	0	0.066213	0.71849	0.35367	3.2341	0	0	0.0012202	0.014462	0.0029042	0.026391	0.54326	0.79873	0.97895	0.99146
TRAF3IP3	10	-0.082717	-0.46772	0.18898	0.47926	0.63998	0.99951	-0.14319	-0.81127	0.055532	0.20908	0.41721	0.76508	0.32255	1.8083	0.072751	0.34774	0.070561	0.26426
HSD17B8	10	0.017687	0.30353	0.50108	0.76228	0.76148	0.99951	0.10289	1.7661	0.12096	0.33215	0.07738	0.33336	-0.1663	-2.8476	0.03616	0.24207	0.0044049	0.050719
SUCLG1	10	-0.074235	-1.1063	0.24882	0.54891	0.26859	0.99951	-0.15701	-2.3401	0.037021	0.15665	0.019279	0.13654	-0.22282	-3.3153	0.009901	0.12042	0.00091529	0.017106
HAL	10	-0.054038	-0.78075	0.45071	0.73184	0.43495	0.99951	-0.03585	-0.51891	0.60353	0.78676	0.60382	0.86937	-0.078327	-1.1221	0.20491	0.5553	0.26182	0.53133
GPR18	10	-0.037641	-0.33447	0.66509	0.8612	0.73803	0.99951	0.02514	0.22381	0.68618	0.83797	0.8229	0.95353	0.081143	0.71573	0.97934	0.99217	0.47416	0.7329
SLC12A6	10	-0.029373	-0.46855	0.79294	0.91551	0.63939	0.99951	0.0051323	0.081876	0.92122	0.96137	0.93475	0.98035	-0.014246	-0.22701	0.45889	0.75798	0.82042	0.92752
FLT1	10	-0.011117	-0.13568	0.91821	0.97397	0.89207	0.99951	0.084191	1.0282	0.20577	0.44631	0.30386	0.68648	0.048818	0.59376	0.81877	0.93053	0.55268	0.78765
DDC	10	0.0035427	0.053144	0.71675	0.88611	0.95762	0.99951	0.072406	1.0865	0.27249	0.52393	0.27727	0.65797	-0.0538	-0.80516	0.28885	0.65146	0.42073	0.6981
GLUD1	10	0.074694	0.98768	0.068446	0.29887	0.32331	0.99951	0.17403	2.3018	0.0086096	0.056657	0.021344	0.14583	-0.14843	-1.9566	0.054671	0.30166	0.050399	0.21755
PTPRD	10	0.042624	0.58028	0.23203	0.52786	0.56172	0.99951	0.097394	1.3265	0.13991	0.35991	0.18468	0.54786	-0.044892	-0.60884	0.32458	0.67524	0.54263	0.78051
PPP1R1A	10	0.030622	0.54593	0.34524	0.64366	0.58511	0.99951	0.070409	1.2553	0.28541	0.53296	0.20936	0.57829	-0.29293	-5.2162	0.00086096	0.02	1.8266e-07	2.496e-05
ARHGAP26	10	-0.01385	-0.24273	0.95781	0.98934	0.80822	0.99951	-0.058855	-1.0318	0.40895	0.65472	0.30218	0.68648	-0.11134	-1.9433	0.11451	0.42903	0.051975	0.22073
FES	10	0.01042	0.16646	0.60181	0.82478	0.8678	0.99951	0.017297	0.27634	0.78132	0.89102	0.78229	0.93589	-0.23948	-3.8204	0.0060267	0.08589	0.00013322	0.0041822
SLC25A18	10	-0.054377	-0.77572	0.44554	0.72785	0.43791	0.99951	-0.084491	-1.2054	0.23719	0.48546	0.22806	0.60396	-0.068383	-0.9748	0.23935	0.60475	0.32966	0.60972
ARAF	10	-0.00081558	-0.012792	0.774	0.90868	0.98979	0.99951	0.034596	0.54275	0.58373	0.78021	0.5873	0.86349	-0.12519	-1.959	0.089539	0.38734	0.050115	0.21735
SELP	10	0.022271	0.25786	0.44641	0.72823	0.79652	0.99951	0.050441	0.58516	0.44038	0.68337	0.55844	0.84219	0.090383	1.0346	0.91864	0.96605	0.30085	0.57855
F9	10	0.015945	0.12179	0.52561	0.7782	0.90306	0.99951	0.069323	0.53002	0.29272	0.53712	0.5961	0.86831	0.25817	1.9643	0.1808	0.52757	0.049494	0.21689
DRD4	10	0.0049342	0.070506	0.68963	0.87589	0.94379	0.99951	0.030715	0.43894	0.62678	0.79967	0.6607	0.89389	-0.08656	-1.235	0.17607	0.52102	0.21681	0.48876
SLC13A3	10	-0.0090884	-0.13964	0.88894	0.96141	0.88894	0.99951	0.024545	0.37719	0.69307	0.83898	0.70603	0.9132	-0.11106	-1.7032	0.11494	0.42926	0.088528	0.30132
AKAP6	10	-0.016757	-0.20538	0.9957	0.99914	0.83728	0.99951	0.044119	0.54119	0.49677	0.72854	0.58837	0.86396	-0.26407	-3.2186	0.0043048	0.078125	0.0012881	0.020926
CRAT	10	0.046402	0.53216	0.20491	0.49635	0.59462	0.99951	0.14352	1.6469	0.027551	0.13142	0.099579	0.3834	-0.15137	-1.7266	0.050796	0.28814	0.08424	0.29414
ELSPBP1	10	-0.070172	-0.91966	0.27895	0.58154	0.35775	0.99951	-0.020508	-0.26886	0.76668	0.88519	0.78804	0.9379	0.041139	0.53791	0.77529	0.91514	0.59064	0.80852
TBCK	10	0.074514	0.75007	0.068876	0.30019	0.45321	0.99951	0.12656	1.2741	0.053379	0.20361	0.20262	0.57089	0.12982	1.3051	0.69393	0.88474	0.19184	0.45615
AMY2A	8	-0.15227	-1.2869	0.024107	0.15427	0.19814	0.99473	-0.17015	-1.4388	0.038313	0.1595	0.1502	0.48193	-0.0025717	-0.021636	0.57899	0.81713	0.98274	0.99245
PIP	10	0.10252	0.79806	0.015928	0.11672	0.42483	0.99951	0.13981	1.0911	0.032716	0.14476	0.27521	0.65503	0.0052672	0.040368	0.55446	0.8045	0.9678	0.98996
ABL1	10	0.11241	1.5494	0.0094705	0.078292	0.1213	0.87757	0.21434	2.9547	0.00043048	0.0039526	0.0031298	0.031474	-0.16269	-2.2384	0.040034	0.25833	0.025198	0.1471
KCNJ6	10	0.051074	0.62023	0.17262	0.45465	0.53511	0.99951	0.10698	1.2992	0.1059	0.30521	0.19387	0.55875	0.0056733	0.06885	0.55704	0.80573	0.94511	0.98559
TRAPPC5	10	-0.015398	-0.091509	0.97762	0.99215	0.92709	0.99951	-0.15382	-0.91499	0.040034	0.1646	0.3602	0.7295	-0.14251	-0.83416	0.06285	0.32444	0.40419	0.68536
KCNJ8	10	0.10684	1.9836	0.012053	0.09396	0.047299	0.61728	0.17615	3.2707	0.0081791	0.054286	0.0010729	0.013098	-0.046254	-0.85767	0.31985	0.67484	0.39108	0.67244
OPRL1	10	-0.16112	-1.9089	0.0081791	0.068345	0.056275	0.66113	-0.1901	-2.2523	0.014636	0.083538	0.024302	0.1613	0.061654	0.73	0.89109	0.95436	0.46539	0.73047
CSAD	10	-0.11136	-1.4836	0.075764	0.31598	0.13791	0.92058	-0.15641	-2.084	0.037452	0.15732	0.037162	0.21195	-0.19697	-2.6192	0.022385	0.19847	0.0088144	0.080297
MAPK11	10	-0.037984	-0.17789	0.66337	0.8612	0.85881	0.99951	-0.036361	-0.17037	0.60095	0.7864	0.86472	0.95729	0.45021	2.1071	0.0073181	0.097701	0.035111	0.18111
PAICS	10	-0.025269	-0.34729	0.85536	0.94349	0.72837	0.99951	-0.034944	-0.48113	0.61601	0.79511	0.63042	0.88548	-0.036288	-0.49361	0.3573	0.68931	0.62158	0.82362
PTPN7	10	-0.096309	-0.98993	0.12226	0.38649	0.32221	0.99951	-0.13932	-1.4323	0.061989	0.22222	0.15205	0.48384	-0.0031466	-0.032261	0.51141	0.78309	0.97426	0.99105
none	750	0	0	0.69608	0.87648	1	1	0	0	0.99742	0.99828	1	1	0	0	0.39346	0.71184	1	1
C1QB	10	-0.067783	-0.80675	0.29961	0.60103	0.41981	0.99951	-0.17386	-2.0692	0.021954	0.10991	0.038527	0.2167	0.19265	2.2922	0.38872	0.71115	0.021896	0.13573
CHRNA5	10	-0.012875	-0.11152	0.94016	0.98334	0.9112	0.99951	0.031468	0.27313	0.62032	0.79657	0.78476	0.93589	0.052569	0.4514	0.84072	0.93682	0.6517	0.8405
GALM	10	0.021377	0.2753	0.45545	0.73412	0.78309	0.99951	0.086824	1.1182	0.1907	0.42843	0.26347	0.64508	-0.0035884	-0.046177	0.50882	0.78309	0.96317	0.98828
CTSL	10	0.01745	0.29286	0.50667	0.76669	0.76963	0.99951	0.041615	0.69846	0.52045	0.74188	0.48489	0.80049	-0.1861	-3.1204	0.02712	0.21356	0.0018062	0.026389
HRH3	10	-0.06577	-0.5246	0.3164	0.61686	0.59986	0.99951	0.092538	0.73826	0.16616	0.40104	0.46035	0.78556	0.05515	0.43943	0.85062	0.93682	0.66035	0.84517
PINK1	10	-0.00097821	-0.013208	0.77486	0.90868	0.98946	0.99951	-0.040093	-0.54147	0.56651	0.76914	0.58819	0.86396	0.11108	1.4959	0.79897	0.91972	0.13468	0.37336
GK5	10	0.049483	0.50151	0.18123	0.46934	0.61601	0.99951	-0.0051331	-0.052034	0.94361	0.96948	0.9585	0.98828	0.23701	2.3976	0.23461	0.59759	0.016503	0.11478
C9orf96	10	-0.18978	-1.4321	0.0030133	0.03271	0.15211	0.92989	-0.16004	-1.2089	0.032716	0.14476	0.22671	0.60292	0.15147	1.1393	0.5678	0.81227	0.25456	0.52634
MAP2K4	10	0.048374	0.57106	0.19027	0.48096	0.56796	0.99951	0.12404	1.465	0.057684	0.2144	0.14292	0.46762	0.15703	1.8488	0.54326	0.79873	0.064481	0.24965
OXTR	10	0.076703	0.83712	0.065863	0.29423	0.40252	0.99951	0.27758	3.0299	0	0	0.0024467	0.025953	-0.19328	-2.1065	0.023676	0.20599	0.035162	0.18111
IL2RG	10	0.028795	0.37232	0.36634	0.66329	0.70965	0.99951	0.049125	0.63536	0.44985	0.69266	0.52519	0.82722	0.026375	0.34023	0.68833	0.88148	0.73369	0.88907
LCTL	10	0.0019934	0.030701	0.73956	0.89677	0.97551	0.99951	-0.019933	-0.30708	0.77228	0.88593	0.75878	0.93241	-0.067463	-1.0353	0.24107	0.60475	0.30054	0.57855
SIRPD	8	-0.035835	-0.60812	0.71588	0.88611	0.54311	0.99951	-0.10244	-1.7386	0.20448	0.44559	0.082103	0.34427	0.027027	0.4579	0.72966	0.90016	0.64702	0.83915
TMPRSS15	10	0.0090333	0.12133	0.62376	0.84009	0.90343	0.99951	0.051329	0.6898	0.43392	0.6797	0.49032	0.80438	-0.07033	-0.93967	0.23117	0.59231	0.34739	0.62793
CDC7	10	-0.49536	-3.65	0	0	0.0002622	0.017915	-0.60855	-4.486	0	0	7.258e-06	0.00016057	-0.94289	-6.8098	0	0	9.776e-12	2.271e-08
CFB	14	-0.096432	-1.4264	0.075764	0.31598	0.15375	0.93744	-0.12179	-1.8031	0.049505	0.19525	0.07137	0.31664	-0.16039	-2.3497	0.024107	0.20896	0.018787	0.12508
GCDH	10	0.016648	0.21809	0.51485	0.77027	0.82736	0.99951	0.019664	0.25766	0.75248	0.87531	0.79667	0.94181	-0.11093	-1.4484	0.11537	0.42971	0.14749	0.39247
DAPK3	10	0.014114	0.22725	0.55187	0.80075	0.82023	0.99951	0.038778	0.62482	0.54843	0.76105	0.53209	0.82887	-0.20462	-3.2702	0.018511	0.18565	0.0010747	0.018631
PNKP	10	-0.070443	-0.6252	0.27723	0.57914	0.53184	0.99951	-0.17801	-1.5803	0.020232	0.10284	0.11403	0.41923	0.092243	0.8149	0.90745	0.96124	0.41513	0.69255
LRRK1	10	0.089469	1.0596	0.034869	0.19613	0.28935	0.99951	0.17323	2.0517	0.0094705	0.060606	0.040195	0.22187	-0.099637	-1.1782	0.13818	0.46861	0.23872	0.51347
PTK7	10	0.04735	0.67407	0.19716	0.4899	0.50027	0.99951	0.052527	0.74784	0.42402	0.66961	0.45456	0.78388	-0.10275	-1.4607	0.13302	0.45846	0.14409	0.38698
TSSK2	10	-0.08498	-0.93165	0.17219	0.45465	0.35152	0.99951	-0.06485	-0.71123	0.36289	0.60999	0.47694	0.79536	0.00055817	0.006104	0.5269	0.78968	0.99513	0.99728
PPP2R5B	10	-0.064943	-0.64827	0.32587	0.62356	0.51681	0.99951	-0.11756	-1.1746	0.10288	0.30025	0.24016	0.61644	0.031802	0.31504	0.72019	0.89801	0.75273	0.89739
PRKCH	10	0.018898	0.18312	0.48472	0.75318	0.8547	0.99951	0.074094	0.71815	0.26087	0.51135	0.47267	0.79393	0.083436	0.80682	0.96384	0.98504	0.41977	0.69701
PPP1R2	10	-0.22198	-2.042	0.00043048	0.0058824	0.041154	0.57443	-0.37521	-3.4517	0	0	0.00055708	0.0074373	-0.15027	-1.3767	0.051227	0.28814	0.1686	0.42073
ADH1C	10	0.074243	1.364	0.071029	0.30726	0.17256	0.98381	0.11641	2.1389	0.075334	0.25216	0.032441	0.19419	-0.28347	-5.1962	0.0017219	0.037037	2.0341e-07	2.6251e-05
CHRM1	10	-0.070716	-1.1167	0.27464	0.57786	0.26414	0.99951	-0.041121	-0.64949	0.55747	0.76627	0.51602	0.8213	-0.20735	-3.2644	0.015928	0.16972	0.001097	0.018737
PTPN2	10	0.023326	0.2591	0.43693	0.72293	0.79556	0.99951	0.073772	0.82074	0.26474	0.51508	0.41179	0.76041	0.0025716	0.028284	0.54111	0.79759	0.97744	0.99146
SEC14L3	10	-0.014482	-0.21475	0.96298	0.98985	0.82996	0.99951	0.02271	0.33682	0.71287	0.84836	0.73625	0.9225	-0.30135	-4.4553	0.00086096	0.02	8.377e-06	0.0005121
RIOK3	10	-0.055508	-0.39662	0.43564	0.72234	0.69165	0.99951	-0.019179	-0.13722	0.77916	0.88987	0.89086	0.96209	0.075495	0.53573	0.98149	0.99217	0.59215	0.80867
PRKCQ	10	0.018706	0.2911	0.48687	0.75449	0.77098	0.99951	0.074873	1.1659	0.257	0.50852	0.24367	0.62067	0.015595	0.24161	0.61472	0.83951	0.80908	0.92358
ADORA1	10	0.013211	0.15934	0.56522	0.81099	0.8734	0.99951	0.05622	0.67864	0.39217	0.6384	0.49737	0.80966	-0.10265	-1.2307	0.13302	0.45846	0.21842	0.48977
MMP16	10	0.017546	0.31488	0.50538	0.76582	0.75285	0.99951	-0.006574	-0.11802	0.92768	0.96593	0.90605	0.9677	-0.040603	-0.72537	0.34137	0.68092	0.46822	0.73196
SLC25A5	10	-0.063734	-0.8026	0.34094	0.63871	0.42221	0.99951	-0.021668	-0.27304	0.75118	0.87513	0.78482	0.93589	-0.28811	-3.6066	0.00086096	0.02	0.00031018	0.0076178
GABRD	10	0.020972	0.41349	0.45889	0.73416	0.67925	0.99951	0.043507	0.85796	0.50452	0.73221	0.39091	0.74433	-0.08742	-1.72	0.17391	0.52102	0.085439	0.29652
KHK	10	0.045382	0.77115	0.21309	0.50254	0.44062	0.99951	0.045389	0.77144	0.48257	0.72133	0.44045	0.7763	-0.025356	-0.42979	0.40723	0.72379	0.66735	0.84773
HLA-DRB1	10	0.12716	0.98936	0.0030133	0.03271	0.32249	0.99951	0.085638	0.66646	0.19759	0.43756	0.50512	0.81506	0.29303	2.2748	0.11365	0.42788	0.022917	0.13973
ACE	13	0.038546	0.78183	0.21739	0.50959	0.43431	0.99951	0.016334	0.33138	0.78864	0.89589	0.74036	0.92565	0.048186	0.97503	0.78089	0.91616	0.32954	0.60972
PPP1R15A	10	-0.064311	-0.58152	0.33448	0.63017	0.56089	0.99951	-0.10575	-0.95669	0.13732	0.35603	0.33873	0.71598	0.011222	0.10105	0.59148	0.82466	0.91951	0.97268
ARL1	10	0.011901	0.10597	0.58158	0.81475	0.91561	0.99951	-0.019947	-0.17771	0.77228	0.88593	0.85895	0.95626	0.07959	0.70494	0.9901	0.99653	0.48085	0.73632
ALDH3A2	10	-0.051371	-0.61259	0.47611	0.74596	0.54015	0.99951	-0.048971	-0.58401	0.48429	0.72133	0.55922	0.84245	0.04321	0.51495	0.7895	0.91746	0.60659	0.81782
MAPKAPK5	10	-0.11374	-1.4998	0.070168	0.30524	0.13366	0.90784	-0.13434	-1.7722	0.070168	0.23971	0.076357	0.3297	0.044416	0.58475	0.79466	0.91754	0.55871	0.79062
ROS1	10	0.12666	1.9836	0.0038743	0.038961	0.047297	0.61728	0.22232	3.4825	0	0	0.00049672	0.0067086	-0.21711	-3.3913	0.011192	0.13065	0.00069566	0.014429
