Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
PPBP	10	-0.086729	-0.81896	0.41283	0.9961	0.41281	0.92978
PRKD3	10	-0.077416	-0.75454	0.4619	0.9961	0.45053	0.92978
SERPINB6	10	-0.13212	-0.98722	0.20706	0.91445	0.32354	0.90162
BMX	10	0.010951	0.16474	0.93887	0.9965	0.86915	0.99498
FPR1	10	-0.067771	-0.95841	0.51055	0.9961	0.33785	0.9042
CA14	10	-0.051134	-0.54473	0.61472	0.9961	0.58594	0.95942
GAK	10	-0.0342	-0.37324	0.72966	0.9961	0.70897	0.97862
PDE8A	10	0.093655	0.54124	0.36634	0.9961	0.58834	0.95942
NDUFA2	10	-0.0283	-0.20393	0.774	0.9961	0.83841	0.99419
DBF4	10	-0.024432	-0.27585	0.80758	0.9961	0.78267	0.97983
FABP6	10	-0.062608	-0.60659	0.5424	0.9961	0.54412	0.95407
MAST4	10	0.0046962	0.046474	0.98235	0.99694	0.96293	0.99869
HSD17B11	10	-0.007454	-0.069521	0.92122	0.9965	0.94458	0.99709
BAIAP2L1	10	0.040056	0.37311	0.70555	0.9961	0.70907	0.97862
STMN4	10	-0.06225	-0.82757	0.54412	0.9961	0.40791	0.92978
PTGIS	10	0.10932	1.3703	0.28713	0.97944	0.17059	0.82859
CPD	10	0.0087333	0.087355	0.95351	0.9965	0.93039	0.99649
PPFIA1	10	0.18564	2.0048	0.065863	0.72857	0.044987	0.67799
GUCY2C	10	-0.026045	-0.27727	0.7938	0.9961	0.78157	0.97983
NDUFA7	11	-0.016265	-0.15374	0.86311	0.9961	0.87782	0.99498
AARS	10	-0.33792	-3.4885	0.0025829	0.17647	0.00048568	0.1821
PNCK	10	-0.12361	-1.2477	0.23461	0.93664	0.21214	0.86446
THRA	10	-0.22367	-2.1966	0.037021	0.63235	0.028046	0.61705
CHIT1	10	-0.20632	-1.559	0.054671	0.71751	0.11901	0.801
KCNN1	10	-0.12321	-1.1757	0.23547	0.93664	0.23973	0.87765
CDKN2B	10	0.003003	0.040016	0.99699	0.99871	0.96808	0.99869
ADH4	10	-0.046917	-0.53387	0.64313	0.9961	0.59343	0.95942
PLOD1	10	-0.019052	-0.23635	0.84288	0.9961	0.81316	0.98715
NDUFS3	10	-0.13621	-0.94392	0.19285	0.88189	0.34521	0.9042
ILKAP	10	0.15649	1.7782	0.11924	0.80994	0.075371	0.73205
TBK1	10	-0.0006262	-0.0062066	0.97417	0.9965	0.99505	1
ROCK1	10	-0.2521	-2.9613	0.021954	0.57955	0.0030639	0.47992
CDKL5	10	0.081207	1.0539	0.4322	0.9961	0.29191	0.89459
FGR	10	0.15687	1.6542	0.11838	0.80994	0.098079	0.74947
GNAT1	10	0.16925	1.5533	0.092553	0.77817	0.12035	0.8057
MMP28	10	0.043582	0.48372	0.68274	0.9961	0.62858	0.96319
LPA	10	0.094749	0.77571	0.35945	0.9961	0.43792	0.92978
SLC13A1	10	-0.12914	-1.5714	0.2161	0.91577	0.11609	0.79317
FCGR3B	10	0.1011	1.0232	0.32587	0.99474	0.3062	0.90162
RNGTT	10	-0.33703	-2.161	0.0025829	0.17647	0.030693	0.64234
UQCRC1	10	-0.14292	-1.1648	0.17262	0.86809	0.24408	0.87765
HLCS	10	0.021483	0.21645	0.84589	0.9961	0.82863	0.99322
IARS2	10	-0.23499	-1.9944	0.031425	0.62393	0.046114	0.67799
GABRG3	10	-0.070564	-0.79832	0.4972	0.9961	0.42468	0.92978
SLC32A1	10	0.008758	0.077532	0.95351	0.9965	0.9382	0.99649
RPS6KA3	10	0.033399	0.32218	0.75463	0.9961	0.74732	0.97983
MS4A1	10	0.015485	0.20088	0.89453	0.9965	0.84079	0.99498
LIPJ	10	0.020008	0.20422	0.86096	0.9961	0.83818	0.99419
AKT1	10	-0.4015	-4.3659	0	0	1.2661e-05	0.02941
DPH5	10	0.060755	0.46276	0.55833	0.9961	0.64353	0.96531
MMACHC	10	0.0066493	0.09155	0.96901	0.9965	0.92706	0.99649
INPP5K	10	0.094842	0.85563	0.35859	0.9961	0.39221	0.92685
LSS	10	-0.059312	-0.58524	0.56263	0.9961	0.55839	0.95942
SUCLG2	10	0.037773	0.39075	0.71976	0.9961	0.69599	0.97862
RPL37	10	-0.10916	-0.65157	0.29617	0.98166	0.51468	0.94163
SLC5A6	10	0.11799	1.4743	0.24752	0.94108	0.1404	0.82859
MTMR1	10	0.079036	0.80241	0.44038	0.9961	0.42231	0.92978
GPX3	10	0.1649	1.739	0.10116	0.78477	0.082026	0.7464
RPL3	10	-0.056865	-0.38352	0.57813	0.9961	0.70133	0.97862
SLC7A11	10	0.023764	0.27078	0.83082	0.9961	0.78656	0.98077
ASRGL1	10	0.169	1.173	0.092553	0.77817	0.24079	0.87765
NDUFV2	10	-0.03732	-0.33531	0.70555	0.9961	0.73739	0.97983
GABRA6	10	-0.12425	-1.2346	0.23246	0.93426	0.21696	0.86446
SIK1	10	0.064358	0.60207	0.5325	0.9961	0.54713	0.95407
DSTYK	10	-0.10483	-1.0932	0.31554	0.98795	0.27432	0.88621
SYTL4	10	-0.044556	-0.54672	0.65562	0.9961	0.58457	0.95942
PIK3R4	10	-0.080623	-0.86194	0.44425	0.9961	0.38872	0.92685
CHRNG	10	-0.13805	-1.9974	0.1864	0.87475	0.045781	0.67799
PTK2	10	-0.20232	-2.3479	0.059406	0.72857	0.018881	0.55204
SLC25A6	10	-0.08752	-1.025	0.40852	0.9961	0.30537	0.90162
NDUFA4L2	10	-0.21281	-2.5546	0.046922	0.67901	0.01063	0.50142
CTNS	10	0.00045885	0.0043163	0.98063	0.9965	0.99656	1
UGT3A1	10	-0.034166	-0.24382	0.73009	0.9961	0.80737	0.98556
KRTAP5-2	10	-0.071677	-0.98114	0.49333	0.9961	0.32652	0.90162
ATR	10	0.047231	0.3881	0.65734	0.9961	0.69794	0.97862
DCK	10	0.21738	1.8925	0.034008	0.63235	0.058418	0.70695
SMPD1	10	0.054318	0.48225	0.60568	0.9961	0.62963	0.96319
CHRNA7	10	0.18522	1.5657	0.065863	0.72857	0.11742	0.79992
S100B	10	-0.063236	-0.64158	0.53724	0.9961	0.52115	0.94221
CTSS	10	-0.063195	-0.78488	0.53853	0.9961	0.43252	0.92978
ABCE1	10	-0.2812	-1.9358	0.012053	0.48276	0.052888	0.70695
AKAP14	10	-0.090722	-1.034	0.38829	0.9961	0.30115	0.90162
EPHA1	10	-0.092867	-0.75411	0.37667	0.9961	0.45078	0.92978
HK1	10	0.015154	0.17833	0.89798	0.9965	0.85846	0.99498
TNIK	10	-0.07701	-0.86138	0.46449	0.9961	0.38903	0.92685
PPP1R14D	10	0.16624	1.5095	0.095136	0.77817	0.13118	0.8237
PROZ	10	-0.00021743	-0.0025274	0.97805	0.9965	0.99798	1
GNPDA1	10	0.1228	1.2824	0.22514	0.91972	0.19971	0.85549
NUAK2	10	-0.013468	-0.10187	0.87645	0.9961	0.91886	0.99649
SCYL3	10	-0.055588	-0.90771	0.58846	0.9961	0.36403	0.91348
STRADB	10	0.015004	0.10168	0.89841	0.9965	0.91901	0.99649
KCNK9	10	0.055756	0.48118	0.59449	0.9961	0.63039	0.96319
PTGR1	10	0.24358	1.2597	0.018511	0.55844	0.20777	0.86343
MMP19	10	0.10637	1.1931	0.29961	0.98166	0.23281	0.87765
ACOT13	10	-0.13304	-1.7214	0.20319	0.90769	0.085177	0.74663
LARS	10	-0.090233	-1.063	0.39087	0.9961	0.2878	0.89459
INSRR	10	-0.041581	-0.25141	0.67714	0.9961	0.8015	0.98253
MYO3B	10	-0.14129	-1.1557	0.17693	0.87247	0.24779	0.87765
TPK1	10	0.0070272	0.091593	0.96556	0.9965	0.92702	0.99649
RAMP2	10	-0.18488	-1.7403	0.084374	0.77817	0.081806	0.7464
KCNJ12	10	9.3789e-05	0.0013224	0.9802	0.9965	0.99894	1
PTPN22	10	0.2085	1.82	0.040895	0.65772	0.068764	0.71075
TF	10	0.036329	0.51373	0.73052	0.9961	0.60744	0.95959
RPIA	10	0.15067	1.4627	0.13302	0.83288	0.14354	0.82859
CTSG	10	-0.048228	-0.67492	0.63495	0.9961	0.49973	0.93464
RIPK3	8	-0.18607	-2.0182	0.12139	0.81143	0.043574	0.67799
MAGI3	10	0.23857	2.4661	0.021093	0.57471	0.01366	0.54146
FTH1	10	-0.05346	-0.66941	0.60396	0.9961	0.50324	0.93671
CD33	10	0.046772	0.53271	0.66164	0.9961	0.59424	0.95942
NDUFB7	10	-0.18782	-1.4016	0.079208	0.77637	0.16102	0.82859
NME3	10	0.05464	0.6743	0.60267	0.9961	0.50012	0.93464
HNMT	10	0.0082924	0.10354	0.95652	0.9965	0.91753	0.99649
AGTR1	10	0.14215	1.452	0.16014	0.86696	0.14651	0.82859
SLC29A1	10	-0.039955	-0.4768	0.69221	0.9961	0.6335	0.96319
OAT	10	0.042982	0.41043	0.68532	0.9961	0.68149	0.97862
SCLY	10	0.07004	0.60355	0.49763	0.9961	0.54614	0.95407
KSR2	10	-0.1647	-1.963	0.11881	0.80994	0.049645	0.70498
TREM1	10	-0.036611	-0.40825	0.70943	0.9961	0.68309	0.97862
MAPK9	10	-0.0079498	-0.090802	0.91864	0.9965	0.92765	0.99649
GNG2	10	0.17696	1.589	0.078777	0.77637	0.11206	0.78673
NDUFA5	10	-0.15976	-1.4883	0.13043	0.82561	0.13667	0.82859
ARSA	10	0.059056	0.63571	0.56866	0.9961	0.52496	0.94221
CDO1	10	0.22031	2.28	0.031425	0.62393	0.022609	0.57087
OAZ3	10	-0.0041303	-0.032689	0.94877	0.9965	0.97392	0.99869
PTPRF	10	0.017349	0.27913	0.87861	0.9961	0.78015	0.97983
TRPV3	10	-0.14005	-1.8965	0.18338	0.87247	0.057891	0.70695
SERPINC1	10	-0.04226	-0.54273	0.67111	0.9961	0.58732	0.95942
GARS	10	-0.22955	-1.6175	0.035299	0.63235	0.10577	0.76545
RENBP	10	0.079677	0.8954	0.43823	0.9961	0.37057	0.91352
IBTK	10	-0.048319	-0.64945	0.63366	0.9961	0.51605	0.94163
ADRA2C	10	-0.010535	-0.090687	0.8997	0.9965	0.92774	0.99649
PRKG2	10	-0.15426	-1.8162	0.14077	0.84131	0.069347	0.71075
GHRHR	10	-0.23553	-2.9646	0.030994	0.62393	0.0030309	0.47992
HBG1	7	0.032786	0.27847	0.79552	0.9961	0.78066	0.97983
FCER1G	10	-0.035009	-0.43845	0.72406	0.9961	0.66106	0.97227
PITPNA	10	0.20129	1.6678	0.049505	0.68047	0.09536	0.74663
PDLIM5	10	-0.018407	-0.12341	0.84675	0.9961	0.90178	0.99649
ATP1A1	10	-0.0017607	-0.018039	0.96642	0.9965	0.98561	0.99869
SSTR1	10	0.0045643	0.047548	0.98407	0.99738	0.96208	0.99869
HPGDS	10	-0.039421	-0.52619	0.69436	0.9961	0.59876	0.95942
CDKN2C	10	0.24492	2.0591	0.01808	0.55844	0.039486	0.67467
PRKACG	10	0.10425	1.1169	0.31124	0.98795	0.26404	0.87765
PDXP	10	0.019606	0.16852	0.86268	0.9961	0.86617	0.99498
PRPS1L1	10	-0.086746	-1.0366	0.4124	0.9961	0.29991	0.90127
PDHA1	10	0.13632	1.2972	0.17736	0.87247	0.19455	0.84727
F2	10	-0.062319	-0.82023	0.54412	0.9961	0.41208	0.92978
PTGS1	10	-0.058044	-0.69216	0.56909	0.9961	0.48884	0.93318
CD80	10	0.08209	1.0491	0.42531	0.9961	0.29411	0.89496
TRPM7	10	-0.19197	-2.1067	0.073612	0.76339	0.035144	0.66373
GLRA1	10	0.024017	0.25666	0.8291	0.9961	0.79744	0.98253
ECE1	10	-0.12505	-1.2256	0.22988	0.93031	0.22033	0.86858
MUC2	10	0.080632	1.0262	0.43392	0.9961	0.30481	0.90162
CA5A	10	-0.013481	-0.15262	0.87645	0.9961	0.8787	0.99498
GUCA1A	10	0.01088	0.12161	0.93973	0.9965	0.90321	0.99649
TPI1	10	-0.096208	-0.98235	0.35859	0.9961	0.32593	0.90162
BCHE	10	-0.078858	-0.95963	0.45286	0.9961	0.33724	0.9042
MAPKAPK3	10	-0.080972	-0.9523	0.4421	0.9961	0.34095	0.9042
NDUFA10	10	-0.025664	-0.28312	0.79595	0.9961	0.77708	0.97983
PTPN4	10	0.0145	0.17266	0.90185	0.9965	0.86292	0.99498
MC2R	10	-0.1873	-2.4018	0.079208	0.77637	0.016316	0.54153
GRK5	10	0.083882	0.96261	0.41885	0.9961	0.33574	0.9042
CDK11A	10	0.084683	0.77642	0.4124	0.9961	0.4375	0.92978
SSTR2	10	-0.074116	-1.012	0.47955	0.9961	0.31152	0.90162
LAT	10	-0.01445	-0.13427	0.87	0.9961	0.89319	0.99498
RFK	10	0.088093	0.85643	0.39087	0.9961	0.39176	0.92685
PPP1R3A	10	-0.0083436	-0.089701	0.91649	0.9965	0.92852	0.99649
DCXR	10	0.097888	1.433	0.3418	0.9961	0.15185	0.82859
EPN1	10	0.0027194	0.023622	0.99871	0.99871	0.98115	0.99869
PFKL	10	-0.10676	-1.1277	0.30392	0.98795	0.25944	0.87765
BRD2	10	0.63326	3.3327	0	0	0.00085998	0.24972
BLVRB	10	-0.0015926	-0.018214	0.96771	0.9965	0.98547	0.99869
DOK1	10	0.0073975	0.067113	0.96384	0.9965	0.94649	0.99756
FLT3	10	-0.033453	-0.3638	0.73396	0.9961	0.71601	0.97983
PRKACB	10	0.056529	0.41578	0.5876	0.9961	0.67757	0.97862
MTMR3	10	-0.09596	-1.2027	0.35945	0.9961	0.22911	0.87765
PPP2R5A	10	0.10109	1.0908	0.32587	0.99474	0.27537	0.88621
ADCK3	10	0.0061634	0.059493	0.97073	0.9965	0.95256	0.99869
COX7A1	10	-0.18256	-1.4744	0.088248	0.77817	0.14038	0.82859
ST14	10	-0.038745	-0.44526	0.69694	0.9961	0.65613	0.97152
PTDSS1	10	0.018613	0.2803	0.86913	0.9961	0.77924	0.97983
FFAR1	10	0.0036996	0.036802	0.99182	0.99784	0.97064	0.99869
ACY3	10	-0.0022491	-0.031193	0.9647	0.9965	0.97512	0.99869
SLC25A22	10	-0.073552	-0.71928	0.48386	0.9961	0.47197	0.92978
UCKL1	10	-0.01414	-0.17969	0.87043	0.9961	0.8574	0.99498
CACNA2D2	10	0.050979	0.53899	0.63194	0.9961	0.58989	0.95942
PRNP	10	-0.054704	-0.6189	0.59449	0.9961	0.53598	0.95084
LIMK2	10	-0.073778	-0.63527	0.4817	0.9961	0.52525	0.94221
SRPK1	10	0.010855	0.1524	0.94016	0.9965	0.87887	0.99498
SLC6A4	10	-0.025829	-0.21217	0.79509	0.9961	0.83198	0.99322
EDA	10	-0.055418	-0.63201	0.59019	0.9961	0.52738	0.94457
MAT2A	10	-0.24479	-1.7747	0.025829	0.60606	0.075947	0.73205
MAPKBP1	10	0.27601	2.1421	0.0077486	0.38	0.032187	0.64841
CAMK2G	10	0.037757	0.38526	0.71976	0.9961	0.70004	0.97862
KCNJ5	10	0.19245	1.2403	0.06285	0.72857	0.21486	0.86446
ATP2C1	10	-0.031905	-0.42691	0.74989	0.9961	0.66945	0.97862
